price_usd,created_at
424.58,2025-01-16 23:00:12.392756
424.58,2025-01-16 22:00:12.272509
424.53,2025-01-16 21:00:11.633931
427.5,2025-01-16 20:00:11.820635
425.55,2025-01-16 19:00:13.681144
426.83,2025-01-16 18:00:13.612487
427.08,2025-01-16 17:00:13.076455
427.3,2025-01-16 16:00:13.276823
426.12,2025-01-16 15:00:12.853821
426.31,2025-01-16 14:00:14.578217
426.31,2025-01-16 13:00:16.459749
426.31,2025-01-16 12:00:15.351181
426.31,2025-01-16 11:00:14.021896
426.31,2025-01-16 10:26:17.629967
426.31,2025-01-16 10:00:20.957817
426.31,2025-01-16 09:00:32.028516
426.31,2025-01-16 08:29:09.945697
426.31,2025-01-16 08:00:21.415585
426.31,2025-01-16 07:00:21.497155
426.31,2025-01-16 06:00:15.453000
426.31,2025-01-16 05:00:23.364122
426.31,2025-01-16 04:19:34.301038
426.31,2025-01-16 04:00:24.030106
426.31,2025-01-16 03:42:51.629060
